Sl,"Consignor GST",Name,Address,"Consignee GST",Name,Address,"Date of Booking","Date of Delivery","No. of items",Commodity,"Goods Value(Rs.)"
140,37AKHPP4708P1ZH,"SRI SRINIVASA AUTO E/P",VJA,37AVKPP7211P1ZW,"PNR  A/M",PDPM,2018-03-22,0000-00-00,1,A/M,5136
141,37ABEPV1483D1ZK,"SAI SRINIVASA TRADING COMPANY",VIJAYAWADA,37AMZPA0094K1ZL,"ANALA.SATYANARAYANA & SONS",DRMM,2018-03-22,0000-00-00,2,DALL,4290
142,37AKHPP4708P1ZH,"SRI SRINIVASA AUTO E/P",VJA,37BAAPJ8893F1ZD,"ARUNA A/M",PTPM,2018-03-22,0000-00-00,2,A/M,6703
143,37AAHCM2736P1ZW,"MURALI vijaya a/g",VIJD,37CQPPS9913R1ZF,"SRI SATYA HOME NEEDS",DRAKSHARAMAM,2018-03-22,0000-00-00,2,mixcy,29620
144,37ACRPK5945P1ZK,"UMASANKAR METAL Ware",PEDDAVUTUPALLI,37coypk4317n1z2,"sri sai ram steel center",rjy,2018-03-22,0000-00-00,1,"steel boram",12662
145,37ASKPA6017B1Z8,"LOTU STEEL SUPPLIERS",VJA,37AFKPB3119C1ZZ,"SRI NEW SARVESWARA A/G",PTPM,2018-03-22,0000-00-00,5,H/W,7218
146,37ADPPM9132P1ZN,"VIJAY ELECTRICALS",VJW,37APPPG2866Q1ZL,"VIJAYA LAKSHMI ELECTRICALS",MANDAPETA,2018-03-22,0000-00-00,2,ele,3776
147,37AAMFT4677N1Z6,"THARANI INDUSTRIES",VJA,37AAHFC4167H1ZC,"CLASSIC INTERIORS",KKD,2018-03-22,0000-00-00,2,"plywood pannels",4618
148,37AAHCA4990R1ZS,"AXIS CROP SCIENCE PVT.LTD",VIJAYAWADA,37BBXPP1523N1AZW,"VIJAYALAKSHMI AGRO A/G",PDPM,2018-03-22,0000-00-00,4,PESTICIDS,25629
149,37AAHCA4990R1ZS,"AXIS CROP SCIENCE PVT.LTD",VIJAYAWADA,37AVHPG4069R1ZU,"SRI VIJAYA LAKSHMI FERTILIZERS & G/S","PATIMEEDA, MDPT",2018-03-22,0000-00-00,2,PESTICIDES,14029
150,37ABRPJ9297L1ZI,"PRIME SHOE MART",VIJAYAWADA,37APVPC0919C1Z0,"SRI SURYA AGENCY",MANDAPETA,2018-03-22,0000-00-00,1,F/W,6100
151,37AKSPB7901K1ZT,"SRI SAI KUMAR AGENCIES",VJA,37AADCS1196B1Zj,"S R M T",kkd,2018-03-22,0000-00-00,1,"HOUSE ITEM",826
152,37AATFS8238F1ZK,"S S R AUTO SALES CO",VJA,"ADHAR 921085544929","SRI SAI A/M",DRMM,2018-03-22,0000-00-00,2,A/M,17085
153,37AATPT7693P1Z4,"LALITHA AGENCIES",VJA,37ACPPB1491D1ZR,"SHYAM ASSOCIATES",RJY,2018-03-22,0000-00-00,11,"ICE CREAM POWDER",7788
154,37AQWPG3815D1ZQ,"MAHARAJA PLY LAM CENTRE","BHAVANIPURAM, VIJAYAWADA",37BGAPJ3457M1Z4,"MARUTHI PLYWOOD GLASS & HARDWARE",JAGGAMPETA,2018-03-22,0000-00-00,5,DOOR,2832
155,37ADBPJ0713D1Z8,"METALS & METALS",VIJAYAWADA,37BXQPK4569Q1Z9,"SRI DURGA GENERAL STORE",MANDAPETA,2018-03-22,0000-00-00,1,STEEL,6720
156,37AADFV9323J1ZS,"VIJAYA E/P",VJA,"adhar 411098774604",v.venkateswararao,drmm,2018-03-22,0000-00-00,1,moter,12400
157,37AJBPP9766C1ZW,"VISHAL ELECTRONICS",VJA,37dmmps9132n1z2,"v r office systems",kkd,2018-03-22,0000-00-00,2,electricals,18009
158,37AOKPK6026N2ZF,"STEEL TOUCH HANDRAIL",VJA,37ASOPG1837D2ZR,"SRI LAXMI PLYWOOD","sharpavaram jn (kkd)",2018-03-22,0000-00-00,1,"HOUSE ITEM",1206
159,37AIGPK9942B1Z6,"SRI VENKATA SAI FURNICTURE",VZA,37AAMFV2073N1ZI,"VISWANADHA GUPTHA & CO",DRAKSHARAMAM,2018-03-22,0000-00-00,2,tables,2700
160,37ALYPB6507A1Z6,"SURESH FANCY CENTRE",VIJAYAWADA,37DLAPM6804G1Z4,M.SURIBABU,YELESWARAM,2018-03-22,0000-00-00,2,"PLASTIC ITEM",4000
161,37AHOPD2871M1ZV,"LAKSHMI DURGA MARKETING",VJA,37BIIPPO0655H1Z2,"SRI GANESH PHARMACEUTICALS",PTPM,2018-03-22,0000-00-00,2,MEDICAL,18756
162,37ABIPD4146M1ZH,"MAHESWARI DALL MILL",VJA,37BGAPM6891G1Z2,"SATYA SAI TRADERS","DHARMAVARAM,YLSM",2018-03-22,0000-00-00,12,DALL,36450
163,37AAGCM0107K2ZL,"MICHELIN INDIA PVT LTD",VJA,37ACRPK5218M1Z0,"SRI JAYALAXMI TRADING CO.",KKD,2018-03-22,0000-00-00,14,tyres,91655
164,37AADFC2245C1ZZ,"CHAITANYA FOOTWEAR",VIJAYAWADA,"adhar 808793125161","suneetha shoe mart",jmpt,2018-03-22,0000-00-00,2,F/W,29880
165,37AACFB2138G1ZT,"BRIGHT ELECTRICALS",VIJAYAWADA,37AACFL6067C1ZF,"LAKSHMI PRASANNA ELECTRICALS MILL STORES",ANAPARTHI,2018-03-22,0000-00-00,3,"ELECTRICAL GOODS",8195
166,37AHOPD2871M1ZV,"LAKSHMI DURGA MARKETING",VJA,37CSLPS2866K1ZV,"BASHEER  MEDICALS A/G",PTPM,2018-03-22,0000-00-00,1,MEDICAL,5678
167,37CHHPB1592G1ZF,"PRINCE SCALES",VJA,"ADHAR 259092259036","LOVA RAJU",RCPM,2018-03-22,0000-00-00,1,ELE,1500
168,37afrpk3805m1zx,"vaibhav electricals",vjw,37AVXPC3560F1ZD,"ASHAPURA ENTERPRISES",YELESWARAM,2018-03-22,0000-00-00,5,ELE,34067
169,37AAIFV5150E1Z5,"VAIRAM ENTERPRISES",Vja,,crystal,rjy,2018-03-22,0000-00-00,2,plates,18561
170,37AAFCG3325C1Z0,"GM CABLES & SWITCHES PRIVATE LIMITED","BHAVANIPURAM, VIJAYAWADA",37AACFL6067C1ZF,"LAKSHMI PRASANNA ELECTRICALS MILL STORES",ANAPARTHI,2018-03-22,0000-00-00,8,"ELECTRICAL GOODS",202674
171,37BZSPK4872J1ZJ,"SRI HANUMAN T/R",VJA,,P.V.V.SATHYANANDAM,YANAM,2018-03-22,0000-00-00,1,TARPALIN,4125
172,37ANJPJ7088D1ZP,"SRI AMBICA AGENCY",VJW,"ADHAR 284270654229","MAJISA POLITHINE",YLSM,2018-03-22,0000-00-00,4,disposable,7966
173,37AHDPM5728K2ZY,"SRI SURESH PARER & CO",VJA,37BCPPK0783E1ZE,"sri sai vision graphics",kkd,2018-03-22,0000-00-00,2,paper,4220
174,37AAACG2038F1ZZ,"BUTTERfly  GANDHIMATHI  APPLIANCE",vja,37BKRPN2329D1ZO,"SIVA SERVIcING CENTER",KKD,2018-03-22,0000-00-00,2,"HOUSE ITEM",18007
175,37AHZPD2126Q1ZO,"SARVARI OIL T/R",VJA,37ASVPR7448C1Z7,"VIGNESWARA A/M","G.MAMIDADA,MDPT",2018-03-22,0000-00-00,1,GREASE,1000
176,37AAACT4250E1ZM,"TROPICAL AGROSYSTEM P.LTD",VJA,37BBXPP1523N1AZW,"VIJAYALAKSHMI AGRO A/G",PDPM,2018-03-22,0000-00-00,3,PESTICIDS,17605
177,37AECPN1895E1ZE,"PAVANI TRADERS",VIJAYAWADA,37DBTPK3514A1ZR,"SAJID ENTERPRISES",YELESWARAM,2018-03-22,0000-00-00,1,F/W,10735
178,37AOOPN7146Q1ZW,"NVP PRODUCTS",VJA,,"sharon book shop",kkd,2018-03-22,0000-00-00,6,juice,4800
179,37AARFB7993C1ZX,"BHARAT FOOT WEAR",VZA,37badpp8023q1z3,"aswini sm.",ylsm,2018-03-22,0000-00-00,1,F/W,9517
180,37ABNPU5369A1Z9,"CITY AGENCIES",VJA,37AAIFS1269F1Z2,"SIDDHARATHA SANITARY WARE",RJY,2018-03-22,0000-00-00,2,"PVC BOLTS",19100
181,37BLOPS9070G1ZE,"SRI VIGHNESWAR OLD SPRINGS",VIJAYAWADA,37AHFPU5086J1Z0,"SRI LAKSHMI NARAYANA ENTERPRISES",RAMCHANDRAPURAM,2018-03-22,0000-00-00,60,"IRON PLATES",45000
182,37AUAPR1956L2Z5,"JAI AMBE H/W",VJA,37AEXPV2980F1Z1,"RAJA RAJESHWARI PLYWOOD H/W",RJY,2018-03-22,0000-00-00,6,H/W,28200
183,37AQAPM6498G1ZF,J.K.DISTRIBUTORS,VJA,37ATFPV2612K2ZD,"RAVITEJA SANITARY & ELECTRICALS2",MANDAPETA,2018-03-22,0000-00-00,2,ELE,49740
184,37AABCC8047P1Z4,"CYBER A/M {PVT LTD}",VJA,37AYWPD1740Q1ZQ,"VENKATA SAI AUTO MOBILES",RJY,2018-03-22,0000-00-00,1,a/m,14061
185,37AGOPP3914C1ZC,"TANDAVA KRISHNA AGENCIES",VIJAYAWADA,37ARXPV0777H1ZT,"GOPAL KRISHNA ELECTRICAL",MANDAPETA,2018-03-22,0000-00-00,1,PVCFITTINGS,3088
186,37ABSPG5065E1ZH,"GARG E/P",VJA,37APVPC0919C1Z0,"SRI SURYA AGENCY",MANDAPETA,2018-03-22,0000-00-00,4,F/W,7308
187,37ABNPU5369A1Z9,"CITY AGENCIES",VJA,37AOCPM3398F1ZQ,"SRI VEERA SAI BUILD MART",KKD,2018-03-22,0000-00-00,15,PVC,62065
188,37ADIPU3041N1Z2,"JTN  E/P",VJA,37AOMPT6362A1ZP,"APPLE   ENTERPRISES",sunkarapalem(kkd),2018-03-22,0000-00-00,1,electricaL,16148
189,37AADFC2245C1ZZ,"CHAITANYA FOOTWEAR",VIJAYAWADA,37CQXPS4731B1ZE,"PRAVEEN S/M",MANDAPETA,2018-03-22,0000-00-00,2,F/W,32592
190,37ADIPU3041N1Z2,"JTN  E/P",VJA,37ARHPA1566F1Z1,"SUPREME TRADERS",KKD,2018-03-22,0000-00-00,1,BELTS,7748
191,37aamfr7764g1zl,"raghavendra tyres",vjw,37BKEPM8083J1ZM,"LAKSHMI DURGA A/M",DRAKSHARAMAM,2018-03-22,0000-00-00,1,TYRE,11275
192,37AJGPK2625L1Z1,"KIRAN TRADERS",VJW,671734028223,"KIRAN DAIRY FARM",MDPT,2018-03-22,0000-00-00,40,"GRAM HUSK",36560
193,37AERPS3088p1za,"vedmata electricals",vjA,34AZTPD5766A1ZC,"SRI RAMA HARI E/P",YANAM,2018-03-22,0000-00-00,1,ELECTRICAL,2714
194,37abgpa0302g1zh,"kinetic auto agencies",VJA,37AXPPC4842C1ZK,"GOPI KRISHNA AUTOMOBILES",RAMACHANDRAPURAM,2018-03-22,0000-00-00,1,A/M,5639
195,37agdpj9429R1ZK,"RAJENDRA MARKETING",vjw,37CTFPP7224P1ZY,"MARUTHI DISPOSIBLE",RAMCHANDRAPURAM,2018-03-22,0000-00-00,3,COVERS,5664
196,37AFNPL1448M1ZX,"IMAGINE  D/P",VJA,37BJVPA4730J1ZX,"VEERA SRI SAI LAKSHMI E/P",SMKT,2018-03-22,0000-00-00,16,PAINTS,15859
197,37BCYPR9805H1ZN,"PALANIAPPA P/M",VJA,37ADBPU7665F1Z4,"PARIMALA PAPER MART",KKD,2018-03-22,0000-00-00,10,PAPER,43809
198,37BOIPR9445H1ZA,"KALYAN MARKETING","BHAVANIPURAM, VIJAYAWADA",37AQJPD5629D1ZY,"SRI SRINIVASA GLASS H/W",PDPM,2018-03-22,0000-00-00,1,PAINTS,1200
199,37AJFPG4785J1ZT,"LAXMI PLYWOOD",VIJAYAWADA,37CFNPM3468J1ZS,"MAHALAXMI GLASS WARE",RAMCHANDRAPURAM,2018-03-22,0000-00-00,15,F/W,13804
200,37AAAFE6190P1ZX,"EASTWIN LABORATORIES",VJA,37AKZPD6231H1ZU,"GANESH CORPORATION",RJY,2018-03-22,0000-00-00,6,MEDICAL,6726
201,37ABAPJ3667K1ZF,"PUJA  A/G",VJA,37ACGPY1452Q1ZT,"EMTEK CUTTING EQUIPMENTES",RJY,2018-03-22,0000-00-00,1,CABEL,70601
202,37AJHPD0483A1ZQ,"S V D PHARMA",VJA,,"GODAVARI VETYERINARY PHARMA",RCPM,2018-03-22,0000-00-00,1,MEDICAL,2598
203,37AATCS9831K1ZE,"SAI RETAIL INDIA PVT LTD",VJA,37AAMCS1175P1ZM,"SAI SILKs (KALAMANDIR) LTDS",RJY,2018-03-22,0000-00-00,20,CLOTH,546268
204,37ABEPA8358A2ZY,"SRI SAI INDUSTRIES",VJA,6708189424226,"Y PRASAD",RJY,2018-03-22,0000-00-00,24,PAINTS,18820
